human_time,timestamp,x,y,z,,,x2-x1,y2-y1,,거리,,,,,,,,,,,,,,
2026-03-26 20:08:13.534,1774523293.53489,-25.0271847205295,-28.3223304292187,0,,,0,0,,0,,,,,,,,,,,,,,
2026-03-26 20:08:13.784,1774523293.78495,-25.0271847205295,-28.3223304292187,0,,,-0.00882541626924649,-0.00116814207285643,,0.00890238890567346,,,,,,,,,,,,,,
2026-03-26 20:08:14.034,1774523294.03496,-25.0360101367987,-28.3234985712916,0,,,-0.00145580287789926,0.0109987137839198,,0.0110946413605798,,,,,,,,,,,,,,
2026-03-26 20:08:14.284,1774523294.28487,-25.0374659396766,-28.3124998575076,0,,,0.00145580287789926,-0.0109987137839198,,0.0110946413605798,,,,,,,,,,,,,,
2026-03-26 20:08:14.534,1774523294.53492,-25.0360101367987,-28.3234985712916,0,,,-0.0102812190889381,0.00983057077974081,,0.014224752644958,,,,,,,,,,,,,,
2026-03-26 20:08:14.785,1774523294.78506,-25.0462913558877,-28.3136680005118,0,,,0.00145580287789926,-0.0109987142495811,,0.0110946418222148,,,,,,,,,,,,,,
2026-03-26 20:08:15.035,1774523295.03514,-25.0448355530098,-28.3246667147614,0,,,-0.00145580287789926,0.0109987142495811,,0.0110946418222148,,,,,,,,,,,,,,
2026-03-26 20:08:15.284,1774523295.28492,-25.0462913558877,-28.3136680005118,0,,,-0.0264762511360459,-0.003504429012537,,0.0267071693918109,,,,,,,,,,,,,,
2026-03-26 20:08:15.535,1774523295.53513,-25.0727676070237,-28.3171724295244,0,,,-0.0706033337046392,-0.00934514170512557,,0.071219115437483,,,,,,,,,,,,,,
2026-03-26 20:08:15.785,1774523295.78514,-25.1433709407283,-28.3265175712295,0,,,-0.104449197882786,-0.0250164270401001,,0.107403242782563,,,,,,,,,,,,,,
2026-03-26 20:08:16.034,1774523296.03498,-25.2478201386111,-28.3515339982696,0,,,-0.14857628045138,-0.0308571457862854,,0.151746744804767,,,,,,,,,,,,,,
2026-03-26 20:08:16.284,1774523296.28496,-25.3963964190625,-28.3823911440559,0,,,-0.151487887022086,-0.00885971821844578,,0.151746744681151,,,,,,,,,,,,,,
2026-03-26 20:08:16.534,1774523296.53494,-25.5478843060846,-28.3912508622743,0,,,-0.158857500588056,-0.0210265796631575,,0.160243010909728,,,,,,,,,,,,,,
2026-03-26 20:08:16.784,1774523296.78495,-25.7067418066727,-28.4122774419375,0,,,-0.136748661287129,0.0154739920981228,,0.137621367509826,,,,,,,,,,,,,,
2026-03-26 20:08:17.034,1774523297.03491,-25.8434904679598,-28.3968034498394,0,,,-0.117642025696114,0.00681156339123845,,0.117839058065303,,,,,,,,,,,,,,
2026-03-26 20:08:17.285,1774523297.285,-25.9611324936559,-28.3899918864481,0,,,-0.136839252256323,-0.0516864452511072,,0.146275321161039,,,,,,,,,,,,,,
2026-03-26 20:08:17.535,1774523297.53501,-26.0979717459122,-28.4416783316992,0,,,-0.125011637283023,-0.00535529805347323,,0.125126290896133,,,,,,,,,,,,,,
2026-03-26 20:08:17.784,1774523297.78494,-26.2229833831952,-28.4470336297527,0,,,-0.133837053261232,-0.00652344524860382,,0.13399594084733,,,,,,,,,,,,,,
2026-03-26 20:08:18.034,1774523298.03494,-26.3568204364565,-28.4535570750013,0,,,-0.154399496444967,0.0131376930512488,,0.154957424737145,,,,,,,,,,,,,,
2026-03-26 20:08:18.285,1774523298.28503,-26.5112199329014,-28.4404193819501,0,,,-0.173506135703065,0.0218001161701977,,0.174870306775177,,,,,,,,,,,,,,
2026-03-26 20:08:18.535,1774523298.53508,-26.6847260686045,-28.4186192657799,0,,,-0.16468072088901,0.0229682559147477,,0.166274714290205,,,,,,,,,,,,,,
2026-03-26 20:08:18.785,1774523298.78505,-26.8494067894935,-28.3956510098651,0,,,-0.158766915672459,0.0461338264867663,,0.165333794060551,,,,,,,,,,,,,,
2026-03-26 20:08:19.035,1774523299.03508,-27.008173705166,-28.3495171833783,0,,,-0.157311111921445,0.0351351099088788,,0.161187040056793,,,,,,,,,,,,,,
2026-03-26 20:08:19.285,1774523299.28513,-27.1654848170874,-28.3143820734695,0,,,-0.161678531439975,0.0681312512606382,,0.175447470562921,,,,,,,,,,,,,,
2026-03-26 20:08:19.535,1774523299.53511,-27.3271633485274,-28.2462508222088,0,,,-0.186698979407083,0.0536280949600041,,0.194248504449032,,,,,,,,,,,,,,
2026-03-26 20:08:19.785,1774523299.78515,-27.5138623279345,-28.1926227272488,0,,,-0.171959759434685,0.0779618113301694,,0.188807316835751,,,,,,,,,,,,,,
2026-03-26 20:08:20.034,1774523300.03497,-27.6858220873692,-28.1146609159187,0,,,-0.177873567328788,0.0547962342388928,,0.186122629578009,,,,,,,,,,,,,,
2026-03-26 20:08:20.295,1774523300.29501,-27.863695654698,-28.0598646816798,0,,,-0.185243179788813,0.0426293713971973,,0.190084978270222,,,,,,,,,,,,,,
2026-03-26 20:08:20.534,1774523300.53492,-28.0489388344868,-28.0172353102826,0,,,-0.17787357227644,0.0547962253913283,,0.186122631701572,,,,,,,,,,,,,,
2026-03-26 20:08:20.784,1774523300.78485,-28.2268124067632,-27.9624390848912,0,,,-0.205805633217096,0.0622904980555177,,0.215025730581004,,,,,,,,,,,,,,
2026-03-26 20:08:21.034,1774523301.03489,-28.4326180399803,-27.9001485868357,0,,,-0.233737696544267,0.0697847660630941,,0.243932827557713,,,,,,,,,,,,,,
2026-03-26 20:08:21.284,1774523301.28496,-28.6663557365246,-27.8303638207726,0,,,-0.226458660443313,0.0147911915555596,,0.226941191143021,,,,,,,,,,,,,,
