human_time,timestamp,speed_ms
2026-02-18 21:20:50.313,1771417250.313182,0.007122002940972778
2026-02-18 21:20:50.563,1771417250.563278,0.017077461613281407
2026-02-18 21:20:50.813,1771417250.813041,0.02078397902911009
2026-02-18 21:20:51.063,1771417251.063093,0.039763400233671545
2026-02-18 21:20:51.313,1771417251.313115,0.07808315355170581
2026-02-18 21:20:51.563,1771417251.563019,0.12214387891867684
2026-02-18 21:20:51.813,1771417251.813051,0.18045854753998453
2026-02-18 21:20:52.063,1771417252.063361,0.23863933381004923
2026-02-18 21:20:52.313,1771417252.313666,0.29920629564555473
2026-02-18 21:20:52.563,1771417252.563212,0.3633324850842063
2026-02-18 21:20:52.813,1771417252.813262,0.4412779530799292
2026-02-18 21:20:53.063,1771417253.063963,0.5319551374738073
2026-02-18 21:20:53.313,1771417253.313727,0.6491824878704648
2026-02-18 21:20:53.563,1771417253.56365,0.7629539006034448
2026-02-18 21:20:53.814,1771417253.814903,0.9045156036247199
2026-02-18 21:20:54.062,1771417254.062699,1.015207329231517
2026-02-18 21:20:54.312,1771417254.312847,1.1286607849816859
2026-02-18 21:20:54.563,1771417254.563599,1.225379201434447
2026-02-18 21:20:54.813,1771417254.813643,1.3016156508978027
2026-02-18 21:20:55.063,1771417255.063638,1.3577874491021396
2026-02-18 21:20:55.313,1771417255.313665,1.422841595963458
2026-02-18 21:20:55.563,1771417255.563345,1.4983337995880335
2026-02-18 21:20:55.813,1771417255.813568,1.5952738836454947
2026-02-18 21:20:56.063,1771417256.06348,1.692714337296286
2026-02-18 21:20:56.313,1771417256.313552,1.801408258198989
2026-02-18 21:20:56.563,1771417256.56334,1.915267107538535
2026-02-18 21:20:56.813,1771417256.813719,2.027544355605483
2026-02-18 21:20:57.063,1771417257.063977,2.12140478799554
2026-02-18 21:20:57.314,1771417257.314326,2.2035033261609387
2026-02-18 21:20:57.563,1771417257.563335,2.2747361000435866
2026-02-18 21:20:57.813,1771417257.813282,2.323360310742387
2026-02-18 21:20:58.063,1771417258.063095,2.376365768934713
2026-02-18 21:20:58.313,1771417258.313204,2.409551400976911
2026-02-18 21:20:58.562,1771417258.562821,2.4325405452507622
2026-02-18 21:20:58.813,1771417258.813804,2.4650018592183445
2026-02-18 21:20:59.064,1771417259.064809,2.4980086920933537
2026-02-18 21:20:59.314,1771417259.314936,2.5173758919589524
2026-02-18 21:20:59.564,1771417259.564935,2.5245244994711995
2026-02-18 21:20:59.814,1771417259.814921,2.536154074111462
2026-02-18 21:21:00.063,1771417260.063172,2.5420147163984295
2026-02-18 21:21:00.313,1771417260.313366,2.5360090607583707
2026-02-18 21:21:00.563,1771417260.563583,2.543508319902398
2026-02-18 21:21:00.813,1771417260.813698,2.5547892107174675
2026-02-18 21:21:01.064,1771417261.064304,2.5709344084604693
2026-02-18 21:21:01.314,1771417261.314375,2.569531824831659
2026-02-18 21:21:01.564,1771417261.564149,2.582729000701915
2026-02-18 21:21:01.814,1771417261.814125,2.5861652572331026
2026-02-18 21:21:02.063,1771417262.063985,2.5824073619409083
2026-02-18 21:21:02.314,1771417262.314017,2.5877232927445997
2026-02-18 21:21:02.563,1771417262.563796,2.593784101172858
2026-02-18 21:21:02.813,1771417262.813189,2.599760429785169
2026-02-18 21:21:03.063,1771417263.063369,2.6142581871145283
2026-02-18 21:21:03.313,1771417263.313713,2.6239627020211764
2026-02-18 21:21:03.565,1771417263.565087,2.631726811633504
2026-02-18 21:21:03.813,1771417263.813378,2.639930836270415
2026-02-18 21:21:04.063,1771417264.063165,2.658517126160066
2026-02-18 21:21:04.313,1771417264.313207,2.6666165973667963
2026-02-18 21:21:04.563,1771417264.563508,2.669208916220704
2026-02-18 21:21:04.813,1771417264.81308,2.667500645672116
2026-02-18 21:21:05.063,1771417265.063273,2.669601204934975
2026-02-18 21:21:05.313,1771417265.313091,2.6619238589240957
2026-02-18 21:21:05.563,1771417265.56331,2.6571553233497944
2026-02-18 21:21:05.813,1771417265.813447,2.651144517434236
2026-02-18 21:21:06.063,1771417266.063226,2.6381889747257197
2026-02-18 21:21:06.313,1771417266.313243,2.6429677972972785
2026-02-18 21:21:06.563,1771417266.563034,2.645399774166444
2026-02-18 21:21:06.813,1771417266.813232,2.647345845372979
2026-02-18 21:21:07.063,1771417267.063567,2.653701900705192
2026-02-18 21:21:07.313,1771417267.313907,2.65192987929698
2026-02-18 21:21:07.563,1771417267.563901,2.677571904920534
2026-02-18 21:21:07.813,1771417267.813303,2.687103721312219
2026-02-18 21:21:08.063,1771417268.063525,2.6795586576675636
2026-02-18 21:21:08.313,1771417268.313336,2.688693609908059
2026-02-18 21:21:08.563,1771417268.563416,2.690845659304055
2026-02-18 21:21:08.813,1771417268.813494,2.6885021383949934
2026-02-18 21:21:09.062,1771417269.062906,2.680677323905485
2026-02-18 21:21:09.313,1771417269.313658,2.68526974428607
2026-02-18 21:21:09.564,1771417269.564093,2.674547813939096
2026-02-18 21:21:09.814,1771417269.81418,2.676694747337823
2026-02-18 21:21:10.062,1771417270.062753,2.658628877722158
2026-02-18 21:21:10.313,1771417270.313014,2.648184044749555
2026-02-18 21:21:10.563,1771417270.563078,2.6544587401270867
2026-02-18 21:21:10.813,1771417270.813206,2.6396337362052282
2026-02-18 21:21:11.063,1771417271.063273,2.6584439042197556
2026-02-18 21:21:11.313,1771417271.313379,2.6774396698728564
2026-02-18 21:21:11.563,1771417271.563034,2.684094341710994
2026-02-18 21:21:11.812,1771417271.812937,2.6861955760317904
2026-02-18 21:21:12.063,1771417272.063165,2.68437257322665
