human_time,timestamp,x,y,z,qx,qy,qz,qw
2026-02-18 21:22:06.997,1771417326.997139,-5.2203137287603205,-0.8121699738816922,0.0,0.0,0.0,0.9820411267187681,0.18866696963944835
2026-02-18 21:22:07.007,1771417327.007107,-5.249996179524611,-0.7966365025106439,0.0,0.0,0.0,0.9823362723954194,0.187124151130399
2026-02-18 21:22:07.017,1771417327.017146,-5.279704027447403,-0.7811361081796371,0.0,0.0,0.0,0.9826289942961519,0.18558087069666732
2026-02-18 21:22:07.027,1771417327.027253,-5.310083217456647,-0.7653287950704459,0.0,0.0,0.0,0.9829192916729962,0.1840371322778518
2026-02-18 21:22:07.037,1771417327.03718,-5.3405714574234056,-0.7495123125246558,0.0,0.0,0.0,0.9831912345440168,0.18257874004333596
2026-02-18 21:22:07.047,1771417327.047155,-5.3711902261976965,-0.7336610557088709,0.0,0.0,0.0,0.9834610135339926,0.18111994605424336
2026-02-18 21:22:07.057,1771417327.057064,-5.401674019352385,-0.7179241543703225,0.0,0.0,0.0,0.983744302634793,0.17957490646965388
2026-02-18 21:22:07.067,1771417327.067227,-5.327186198704857,-0.9476306682871865,0.0,0.0,0.0,0.9840096247573348,0.17811529520209435
2026-02-18 21:22:07.077,1771417327.077188,-5.357189923584769,-0.9332028266614099,0.0,0.0,0.0,0.9842881934987224,0.17656939751559875
2026-02-18 21:22:07.087,1771417327.087128,-5.386752424778368,-0.919026278512649,0.0,0.0,0.0,0.9845490562620438,0.17510898267512945
2026-02-18 21:22:07.097,1771417327.097132,-5.41647666360474,-0.9047989538850612,0.0,0.0,0.0,0.984807752150624,0.17364818255321623
2026-02-18 21:22:07.107,1771417327.107118,-5.447805860649323,-0.8898342421355915,0.0,0.0,0.0,0.9850642806190218,0.17218700023093755
2026-02-18 21:22:07.117,1771417327.117157,-5.4768946321825425,-0.8759651565101504,0.0,0.0,0.0,0.9853186410690771,0.17072543911727794
2026-02-18 21:22:07.127,1771417327.127238,-5.506779061602506,-0.8617569882080435,0.0,0.0,0.0,0.9855708329938515,0.1692635021255486
2026-02-18 21:22:07.137,1771417327.137125,-5.537344875018362,-0.8472667989354312,0.0,0.0,0.0,0.9858208558245871,0.1678011925502276
2026-02-18 21:22:07.147,1771417327.147121,-5.5674929817726015,-0.8330097420543593,0.0,0.0,0.0,0.9860687089817318,0.1663385137816876
2026-02-18 21:22:07.157,1771417327.157094,-5.597968614924308,-0.8186395439020919,0.0,0.0,0.0,0.9863000001171073,0.1649615402722534
2026-02-18 21:22:07.167,1771417327.167044,-5.6281099467693245,-0.8044646299861742,0.0,0.0,0.0,0.9865436400135381,0.16349815396156167
2026-02-18 21:22:07.177,1771417327.177118,-5.6595868991487635,-0.7897016485133783,0.0,0.0,0.0,0.9867851087198192,0.162034407484382
2026-02-18 21:22:07.187,1771417327.187113,-5.689428898552948,-0.7757452325393499,0.0,0.0,0.0,0.9870103894601602,0.16065643808357957
2026-02-18 21:22:07.197,1771417327.197169,-5.720118076583979,-0.761426343138357,0.0,0.0,0.0,0.9872476418579876,0.15919200245565895
2026-02-18 21:22:07.207,1771417327.207127,-5.751691238875521,-0.746726693022522,0.0,0.0,0.0,0.9874689534401064,0.15781338977381162
2026-02-18 21:22:07.217,1771417327.217172,-5.781556400471037,-0.7328567572156303,0.0,0.0,0.0,0.9877019875484965,0.1563482772298748
2026-02-18 21:22:07.227,1771417327.227618,-5.812785712381421,-0.7183942153401583,0.0,0.0,0.0,0.9879058007585303,0.1550552444377395
2026-02-18 21:22:07.237,1771417327.237091,-5.8440589787179755,-0.7039490182498161,0.0,0.0,0.0,0.9881347426075064,0.1535894867886375
2026-02-18 21:22:07.247,1771417327.247078,-5.876006314034272,-0.689230207994423,0.0,0.0,0.0,0.9883482307266287,0.15220964102034662
