human_time,timestamp,x,y,vx,yaw
2026-02-18 21:20:49.002,1771417249.002503,0.0,0.0,0.0,3.129510732919558
2026-02-18 21:20:49.012,1771417249.012733,0.0,0.0,0.0,3.129660551507574
2026-02-18 21:20:49.022,1771417249.022476,0.0,0.0,0.0,3.129662023185582
2026-02-18 21:20:49.032,1771417249.032134,0.0,0.0,0.0,3.129511495622491
2026-02-18 21:20:49.042,1771417249.042129,0.0,0.0,0.0,3.129511495622491
2026-02-18 21:20:49.052,1771417249.052188,0.0,0.0,0.0,3.1293078602009503
2026-02-18 21:20:49.062,1771417249.062231,0.0,0.0,0.0,3.1293078602009503
2026-02-18 21:20:49.072,1771417249.072237,0.0,0.0,0.0,3.129334786904197
2026-02-18 21:20:49.082,1771417249.082291,0.0,0.0,0.0,3.129307133967396
2026-02-18 21:20:49.092,1771417249.092106,0.0,0.0,0.0,3.129308586071024
2026-02-18 21:20:49.103,1771417249.103119,0.0,0.0,0.0,3.129334786904197
2026-02-18 21:20:49.112,1771417249.112594,0.0,0.0,0.0,3.1291580781439947
2026-02-18 21:20:49.123,1771417249.12304,0.0,0.0,0.0,3.129131146479649
2026-02-18 21:20:49.132,1771417249.132807,0.0,0.0,0.0,3.129131867453263
2026-02-18 21:20:49.142,1771417249.142495,0.0,0.0,0.0,3.1291580781439947
2026-02-18 21:20:49.152,1771417249.152683,0.0,0.0,0.0,3.1293078602009503
2026-02-18 21:20:49.163,1771417249.163127,0.0,0.0,0.0,3.129308586071024
2026-02-18 21:20:49.173,1771417249.173377,0.0,0.0,0.0,3.129159582906544
2026-02-18 21:20:49.182,1771417249.182942,0.0,0.0,0.0,3.128982117016168
2026-02-18 21:20:49.193,1771417249.193049,0.0,0.0,0.0,3.1289828643171282
2026-02-18 21:20:49.202,1771417249.202425,0.0,0.0,0.0,3.1291333082931487
2026-02-18 21:20:49.213,1771417249.213137,0.0,0.0,0.0,3.129159582906544
2026-02-18 21:20:49.222,1771417249.222684,0.0,0.0,0.0,3.1289828643171282
2026-02-18 21:20:49.232,1771417249.232754,0.0,0.0,0.0,3.1289558644979003
2026-02-18 21:20:49.242,1771417249.242742,0.0,0.0,0.0,3.1289565798255
2026-02-18 21:20:49.252,1771417249.252552,0.0,0.0,0.0,3.1288061456862932
2026-02-18 21:20:49.262,1771417249.262491,0.0,0.0,0.0,3.1289558644979003
2026-02-18 21:20:49.273,1771417249.273693,0.0,0.0,0.0,3.1291333082931487
2026-02-18 21:20:49.284,1771417249.28441,0.0,0.0,0.0,3.129160334736729
2026-02-18 21:20:49.294,1771417249.294089,0.0,0.0,0.0,3.129160334736729
2026-02-18 21:20:49.303,1771417249.303468,0.0,0.0,0.0,3.129310036720787
2026-02-18 21:20:49.313,1771417249.313714,0.0,0.0,0.0,3.129310761500504
2026-02-18 21:20:49.324,1771417249.324274,0.0,0.0,0.0,3.1293370581866915
2026-02-18 21:20:49.334,1771417249.334125,0.0,0.0,0.0,3.129337814557397
2026-02-18 21:20:49.343,1771417249.343782,0.0,0.0,0.0,3.129487494801256
2026-02-18 21:20:49.353,1771417249.353138,0.0,0.0,0.0,3.129515303795759
2026-02-18 21:20:49.362,1771417249.362803,0.0,0.0,0.0,3.129337814557397
2026-02-18 21:20:49.372,1771417249.372485,0.0,0.0,0.0,3.129486765108145
2026-02-18 21:20:49.382,1771417249.382667,0.0,0.0,0.0,3.1296656962180656
2026-02-18 21:20:49.392,1771417249.39272,0.0,0.0,0.0,3.1296920369828003
2026-02-18 21:20:49.402,1771417249.402531,0.0,0.0,0.0,3.1298687701272496
2026-02-18 21:20:49.412,1771417249.412806,0.0,0.0,0.0,3.129841700454114
2026-02-18 21:20:49.422,1771417249.422417,0.0,0.0,0.0,3.1300191823028287
2026-02-18 21:20:49.432,1771417249.432338,0.0,0.0,0.0,3.1298687701272496
2026-02-18 21:20:49.442,1771417249.442342,0.0,0.0,0.0,3.130046278552685
2026-02-18 21:20:49.452,1771417249.452492,0.0,0.0,0.0,3.130019925713609
2026-02-18 21:20:49.462,1771417249.462639,0.0,0.0,0.0,3.1300470535374867
2026-02-18 21:20:49.472,1771417249.472463,0.0,0.0,0.0,3.1298703105920644
2026-02-18 21:20:49.482,1771417249.482415,0.0,0.0,0.0,3.130019925713609
2026-02-18 21:20:49.492,1771417249.492389,0.0,0.0,0.0,3.130020668783637
2026-02-18 21:20:49.502,1771417249.502584,0.0,0.0,0.0,3.130223796439714
2026-02-18 21:20:49.513,1771417249.51321,0.0,0.0,0.0,3.130196673624204
2026-02-18 21:20:49.524,1771417249.524094,0.0,0.0,0.0,3.1303741744348708
2026-02-18 21:20:49.534,1771417249.534096,0.0,0.0,0.0,3.13037492704728
2026-02-18 21:20:49.544,1771417249.544085,0.0,0.0,0.0,3.130401323804962
2026-02-18 21:20:49.554,1771417249.554038,0.0,0.0,0.0,3.1303741744348708
2026-02-18 21:20:49.564,1771417249.564189,0.0,0.0,0.0,3.1305516847514596
2026-02-18 21:20:49.574,1771417249.574108,0.0,0.0,0.0,3.130578860665054
2026-02-18 21:20:49.584,1771417249.584189,0.0,0.0,0.0,3.1305780715502856
2026-02-18 21:20:49.594,1771417249.594086,0.0,0.0,0.0,3.130727679917862
2026-02-18 21:20:49.604,1771417249.604024,0.0,0.0,0.0,3.1305229940835684
2026-02-18 21:20:49.613,1771417249.613811,0.0,0.0,0.0,3.1304284107334563
2026-02-18 21:20:49.622,1771417249.622971,0.0,0.0,0.0,3.130196673624204
2026-02-18 21:20:49.632,1771417249.63254,0.0,0.0,0.0,3.1304300418909685
