x,y
-0.8596254446078404,-0.5852252263299141
-0.3999447373453572,-0.8581102888474542
0.08033724403775183,-1.1217419129696722
0.49704675774868173,-1.4030109090509557
0.9883802661466121,-1.502401190831182
1.4875916119465886,-1.6872979942422157
1.9568488332943943,-1.8675879045796235
2.4582991297629224,-2.149801545210029
2.9011009968708317,-2.3925405443226713
3.369046460726409,-2.5743623433341103
3.8847432580486223,-2.7075235794015664
4.366429021119521,-2.852929214649268
4.824377491247507,-3.0726920935250215
5.270797615127404,-3.3131866905228886
5.722497643112363,-3.5418753523243742
6.1997602097895115,-3.720561275738964
6.670827204801357,-3.911607627855597
7.11797355399862,-4.1400216399406204
7.603884990414959,-4.273383658522823
8.09915736257936,-4.407364521129122
8.587255363195178,-4.530950262839854
9.05449466329278,-4.720749262136306
9.514797657421493,-4.931740748388054
9.990753974113712,-5.167957959932743
10.452417200108572,-5.365905089544594
10.928390516900192,-5.522367968217705
11.410255864639586,-5.68135754440712
11.894946856202475,-5.813229150683384
12.387980640007672,-5.948674115189043
12.887345026943624,-6.0741109776726665
13.370180536809267,-6.209632819388326
13.857634992827943,-6.327103140904208
14.341929960910928,-6.492636534202641
14.8269984783575,-6.677389670939995
15.300215718904775,-6.862205342339026
15.778404495675144,-7.052879076673299
16.240259769565245,-7.265690415384753
16.71375577216694,-7.460617031577565
17.18561415034309,-7.667914385718996
17.65058509753175,-7.902609485374028
18.090607286374137,-8.145641718100897
18.536325926126885,-8.40447083553245
18.90114631857048,-8.75738519659057
19.33813389138274,-9.008796271010151
19.77516428106614,-9.269362610810905
20.21972395446946,-9.529595237280937
20.675459313831468,-9.748404119832864
21.12973275098932,-9.962961490900172
21.61467094230425,-10.148024910540688
22.113270909577164,-10.284473267308334
22.61561153550037,-10.357174900637798
23.12001389631272,-10.443669550910604
23.63240765116833,-10.483648176512554
24.142473217595064,-10.481908122261412
24.65216859144526,-10.508092633381299
25.167964676923084,-10.502308673458728
25.642475520400076,-10.695307033045214
26.13342831703093,-10.819900715983392
26.450943758832107,-11.218125821944454
26.87402699278883,-11.510313477779013
27.134386084331172,-11.93881100135757
27.56699053215355,-12.194151283231879
28.024326211317803,-12.429586640700892
28.467265253367046,-12.6911628157204
28.961646449144965,-12.84432988986548
29.46499379989688,-12.965459531083445
29.969021308469046,-13.053337619207682
30.470096255733676,-13.178491072073783
30.963675854965125,-13.294961607829828
31.474208139240165,-13.392624642001753
31.97357741648782,-13.463838338796133
32.449140647914625,-13.670504627844998
32.940998426137945,-13.82113536640268
33.4163809918719,-13.97619603960324
33.86791759582939,-14.22091898034319
34.38854460206111,-14.31492224563406
34.881629606149026,-14.423517153058354
35.378186935966966,-14.553715577190633
35.863845400481566,-14.702802153612227
36.35507322159899,-14.8769374981711
36.71680342383061,-15.226200394916393
37.18047855718976,-15.442908020817065
37.62827698888001,-15.674699199828645
38.05700233669267,-15.957784243380244
38.55205189250168,-16.125880535726495
39.00563943744081,-16.357275194744894
39.51617149280917,-16.467003551088904
40.02413762953701,-16.551891103203253
40.52170257325028,-16.62029800985829
41.02161792562062,-16.69080515496306
41.52432264537509,-16.765327345502957
42.02007748391753,-16.878313777458164
42.4607101865634,-17.127112865338237
42.94530952538931,-17.301550796516047
43.408519974655235,-17.493500092759685
