time,utm_x,utm_y,path_type,vehicle_yaw_deg,path_yaw_deg,cte_meter,k_gain,v_kmh,target_steer_deg,current_steer_deg,kp,ki,kd,closest_cluster_dist,r_state,y_state,g_state,f_state,l_state,light_area,stopline_dist
17:50:40.547,399739.8897,4091874.5115,global,-20.28,-20.28,-0.009,2.00,0.00,-1.03,-7.78,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
17:50:40.597,399739.8897,4091874.5115,global,-20.28,-20.28,-0.009,2.00,0.00,-1.03,-7.75,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
17:50:40.647,399739.8897,4091874.5115,global,-20.28,-20.28,-0.009,2.00,0.00,-1.03,-7.75,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
17:50:40.697,399739.8897,4091874.5115,global,-20.28,-20.28,-0.009,2.00,0.40,-1.03,-7.38,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
17:50:40.747,399739.8897,4091874.5115,global,-20.27,-20.28,-0.009,2.00,0.40,-1.02,-7.38,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
17:50:40.797,399739.8897,4091874.5115,global,-20.24,-20.28,-0.009,2.00,0.40,-0.99,-7.38,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
17:50:40.847,399739.8897,4091874.5115,global,-20.21,-20.28,-0.009,2.00,0.14,-0.96,-5.53,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
17:50:40.897,399739.8897,4091874.5115,global,-20.16,-20.28,-0.009,2.00,0.14,-0.91,-5.53,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
17:50:40.947,399739.8897,4091874.5115,global,-20.15,-20.28,-0.009,2.00,0.60,-0.90,-5.21,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
17:50:40.997,399739.8897,4091874.5115,global,-20.19,-20.28,-0.009,2.00,0.60,-0.94,-5.21,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
