time,utm_x,utm_y,path_type,vehicle_yaw_deg,path_yaw_deg,cte_meter,k_gain,v_kmh,target_steer_deg,current_steer_deg,kp,ki,kd,closest_cluster_dist,r_state,y_state,g_state,f_state,l_state,light_area,stopline_dist
17:05:25.995,399739.5035,4091874.9821,global,-6.60,-6.61,0.384,2.00,0.00,22.00,4.86,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.045,399739.5035,4091874.9821,global,-6.60,-6.61,0.384,2.00,0.00,22.00,4.86,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.098,399739.5035,4091874.9821,global,-6.61,-6.61,0.384,2.00,0.20,22.00,4.47,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.145,399739.4946,4091874.9822,global,-6.62,-6.61,0.383,2.00,0.20,22.00,4.47,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.195,399739.4946,4091874.9822,global,-6.60,-6.61,0.383,2.00,0.20,22.00,4.47,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.245,399739.4946,4091874.9822,global,-6.60,-6.61,0.383,2.00,-0.69,22.00,-21.95,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.295,399739.4946,4091874.9822,global,-6.65,-6.61,0.383,2.00,-0.69,22.00,-21.95,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.345,399739.5212,4091874.9708,global,-6.77,-0.68,0.377,2.00,1.20,22.00,-19.49,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.395,399739.5212,4091874.9708,global,-6.99,-0.68,0.377,2.00,1.20,22.00,-19.49,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.445,399739.5212,4091874.9708,global,-7.19,-0.68,0.377,2.00,1.20,22.00,-19.49,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.495,399739.5212,4091874.9708,global,-7.70,-0.68,0.377,2.00,2.48,22.00,-4.76,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.545,399739.5212,4091874.9708,global,-8.15,-0.68,0.377,2.00,2.48,22.00,-4.76,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.595,399739.5212,4091874.9708,global,-8.84,-0.68,0.377,2.00,2.79,22.00,6.14,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.645,399739.5921,4091874.9477,global,-9.26,-16.72,0.326,2.00,2.79,22.00,6.14,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.695,399739.5921,4091874.9477,global,-9.87,-16.72,0.326,2.00,2.79,22.00,6.14,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.745,399739.5921,4091874.9477,global,-10.33,-16.72,0.326,2.00,1.51,22.00,16.92,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.795,399739.5921,4091874.9477,global,-11.16,-16.72,0.326,2.00,1.51,22.00,16.92,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.846,399739.6898,4091874.9244,global,-11.74,-16.72,0.332,2.00,1.20,22.00,21.99,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.895,399739.6898,4091874.9244,global,-12.59,-16.72,0.332,2.00,1.20,22.00,21.99,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.945,399739.6898,4091874.9244,global,-13.19,-16.72,0.332,2.00,1.20,22.00,21.99,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:26.996,399739.6898,4091874.9244,global,-14.05,-16.72,0.332,2.00,1.65,22.00,15.06,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.045,399739.6898,4091874.9244,global,-14.57,-16.72,0.332,2.00,1.65,22.00,15.06,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.095,399739.6898,4091874.9244,global,-15.24,-16.72,0.332,2.00,1.80,22.00,13.00,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.145,399739.7873,4091874.8900,global,-15.71,-16.72,0.327,2.00,1.80,22.00,13.00,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.195,399739.7873,4091874.8900,global,-16.50,-16.72,0.327,2.00,1.80,22.00,13.00,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.245,399739.7873,4091874.8900,global,-17.17,-16.72,0.327,2.00,2.08,22.00,19.25,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.295,399739.7873,4091874.8900,global,-18.29,-16.72,0.327,2.00,2.08,22.00,19.25,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.347,399739.9292,4091874.8439,global,-19.05,-20.28,0.317,2.00,2.17,22.00,19.40,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.395,399739.9292,4091874.8439,global,-20.16,-20.28,0.317,2.00,2.17,22.00,19.40,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.445,399739.9292,4091874.8439,global,-20.87,-20.28,0.317,2.00,2.17,22.00,19.40,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.495,399739.9292,4091874.8439,global,-21.89,-20.28,0.317,2.00,2.34,22.00,17.95,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.545,399739.9292,4091874.8439,global,-22.57,-20.28,0.317,2.00,2.34,22.00,17.95,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.596,399739.9292,4091874.8439,global,-23.68,-20.28,0.317,2.00,2.40,22.00,17.97,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.651,399740.0707,4091874.7646,global,-23.68,-26.29,0.289,2.00,2.40,22.00,17.97,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.695,399740.0707,4091874.7646,global,-25.62,-26.29,0.289,2.00,2.54,22.00,18.20,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.745,399740.0707,4091874.7646,global,-26.40,-26.29,0.289,2.00,2.54,22.00,18.20,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.795,399740.0707,4091874.7646,global,-27.56,-26.29,0.289,2.00,2.62,22.00,18.08,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.845,399740.0707,4091874.7646,global,-28.39,-26.29,0.289,2.00,2.62,22.00,18.08,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.895,399740.2210,4091874.6740,global,-29.64,-15.63,0.268,2.00,2.62,14.18,18.08,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.945,399740.2210,4091874.6740,global,-30.51,-15.63,0.268,2.00,2.58,13.31,18.10,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:27.995,399740.2210,4091874.6740,global,-31.85,-15.63,0.268,2.00,2.58,11.97,18.10,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.045,399740.2210,4091874.6740,global,-32.68,-15.63,0.268,2.00,2.57,11.14,18.03,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.096,399740.2210,4091874.6740,global,-33.97,-15.63,0.268,2.00,2.57,9.85,18.03,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.145,399740.3798,4091874.5501,global,-34.86,-13.44,0.174,2.00,2.82,-2.21,16.41,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.195,399740.3798,4091874.5501,global,-36.15,-13.44,0.174,2.00,2.82,-3.51,16.41,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.245,399740.3798,4091874.5501,global,-36.85,-13.44,0.174,2.00,2.82,-4.21,16.41,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.296,399740.3798,4091874.5501,global,-37.81,-13.44,0.174,2.00,3.21,-5.17,6.22,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.345,399740.3798,4091874.5501,global,-38.29,-13.44,0.174,2.00,3.21,-5.65,6.22,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.395,399740.5296,4091874.4152,global,-38.54,-24.67,0.070,2.00,2.77,-5.87,-5.61,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.445,399740.5296,4091874.4152,global,-38.47,-24.67,0.070,2.00,2.77,-5.80,-5.61,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.495,399740.5296,4091874.4152,global,-38.15,-24.67,0.070,2.00,2.77,-5.49,-5.61,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.545,399740.5296,4091874.4152,global,-37.72,-24.67,0.070,2.00,3.19,-5.05,-14.59,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.600,399740.5296,4091874.4152,global,-37.12,-24.67,0.070,2.00,3.19,-4.45,-14.59,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.645,399740.6974,4091874.3022,global,-36.99,-5.13,0.035,2.00,3.46,-22.00,-7.76,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.695,399740.6974,4091874.3022,global,-36.96,-5.13,0.035,2.00,3.46,-22.00,-7.76,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.745,399740.6974,4091874.3022,global,-36.91,-5.13,0.035,2.00,3.46,-22.00,-7.76,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.795,399740.6974,4091874.3022,global,-37.10,-5.13,0.035,2.00,3.11,-22.00,-7.23,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.848,399740.8827,4091874.1669,global,-37.21,-0.68,-0.078,2.00,3.11,-22.00,-7.23,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.895,399740.8827,4091874.1669,global,-36.71,-0.68,-0.078,2.00,3.16,-22.00,-17.29,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.945,399740.8827,4091874.1669,global,-36.06,-0.68,-0.078,2.00,3.16,-22.00,-17.29,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:28.996,399740.8827,4091874.1669,global,-34.97,-0.68,-0.078,2.00,3.16,-22.00,-17.29,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.045,399740.8827,4091874.1669,global,-34.00,-0.68,-0.078,2.00,3.44,-22.00,-21.57,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.099,399740.8827,4091874.1669,global,-32.46,-0.68,-0.078,2.00,3.44,-22.00,-21.57,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.145,399741.0777,4091874.0869,global,-31.59,-10.32,-0.158,2.00,3.49,-22.00,-21.38,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.195,399741.0777,4091874.0869,global,-30.42,-10.32,-0.158,2.00,3.49,-22.00,-21.38,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.245,399741.0777,4091874.0869,global,-29.54,-10.32,-0.158,2.00,3.49,-22.00,-21.38,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.296,399741.0777,4091874.0869,global,-28.26,-10.32,-0.158,2.00,3.11,-22.00,-21.55,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.345,399741.0777,4091874.0869,global,-27.58,-10.32,-0.158,2.00,3.11,-22.00,-21.55,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.395,399741.2811,4091873.9736,global,-26.48,-6.15,-0.234,2.00,3.76,-22.00,-21.47,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.445,399741.2811,4091873.9736,global,-25.67,-6.15,-0.234,2.00,3.76,-22.00,-21.47,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.496,399741.2811,4091873.9736,global,-24.52,-6.15,-0.234,2.00,3.76,-22.00,-21.47,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.545,399741.2811,4091873.9736,global,-23.75,-6.15,-0.234,2.00,3.55,-22.00,-21.98,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.599,399741.2811,4091873.9736,global,-22.53,-6.15,-0.234,2.00,3.55,-22.00,-21.98,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.645,399741.5208,4091873.9153,global,-21.71,-9.53,-0.277,2.00,3.56,-22.00,-21.60,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.695,399741.5208,4091873.9153,global,-20.58,-9.53,-0.277,2.00,3.56,-22.00,-21.60,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.745,399741.5208,4091873.9153,global,-19.79,-9.53,-0.277,2.00,3.56,-22.00,-21.60,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.795,399741.5208,4091873.9153,global,-18.57,-9.53,-0.277,2.00,3.51,-22.00,-21.50,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.845,399741.5208,4091873.9153,global,-17.77,-9.53,-0.277,2.00,3.51,-22.00,-21.50,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.895,399741.7519,4091873.8792,global,-16.61,-13.83,-0.282,2.00,3.59,-22.00,-21.98,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.945,399741.7519,4091873.8792,global,-15.77,-13.83,-0.282,2.00,3.59,-22.00,-21.98,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:29.995,399741.7519,4091873.8792,global,-14.57,-13.83,-0.282,2.00,3.59,-22.00,-21.98,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.045,399741.7519,4091873.8792,global,-13.76,-13.83,-0.282,2.00,3.71,-22.00,-22.00,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.096,399741.7519,4091873.8792,global,-12.54,-13.83,-0.282,2.00,3.71,-22.00,-22.00,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.145,399742.0008,4091873.8541,global,-11.76,-10.77,-0.236,2.00,3.58,-22.00,-22.00,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.195,399742.0008,4091873.8541,global,-10.54,-10.77,-0.236,2.00,3.58,-22.00,-22.00,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.245,399742.0008,4091873.8541,global,-9.72,-10.77,-0.236,2.00,3.58,-22.00,-22.00,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.295,399742.0008,4091873.8541,global,-8.49,-10.77,-0.236,2.00,3.73,-22.00,-22.00,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.346,399742.2502,4091873.8622,global,-7.67,-13.08,-0.178,2.00,3.73,-13.61,-22.00,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.395,399742.2502,4091873.8622,global,-6.39,-13.08,-0.178,2.00,3.59,-12.96,-21.87,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.445,399742.2502,4091873.8622,global,-5.53,-13.08,-0.178,2.00,3.59,-12.09,-21.87,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.495,399742.2502,4091873.8622,global,-4.34,-13.08,-0.178,2.00,4.64,-6.75,-15.95,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.545,399742.2502,4091873.8622,global,-3.87,-13.08,-0.178,2.00,4.64,-6.28,-15.95,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.599,399742.5086,4091873.8814,global,-3.53,-17.02,-0.093,2.00,4.64,5.30,-15.95,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.645,399742.5086,4091873.8814,global,-3.55,-17.02,-0.093,2.00,3.81,3.53,-2.80,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.695,399742.5086,4091873.8814,global,-3.83,-17.02,-0.093,2.00,3.81,3.25,-2.80,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.745,399742.5086,4091873.8814,global,-4.17,-17.02,-0.093,2.00,3.81,2.92,-2.80,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.795,399742.5086,4091873.8814,global,-5.20,-17.02,-0.093,2.00,4.87,4.02,7.39,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.848,399742.5086,4091873.8814,global,-6.11,-17.02,-0.093,2.00,4.87,3.11,7.39,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.895,399742.7752,4091873.8339,global,-7.01,-17.02,-0.073,2.00,3.72,1.93,5.03,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.945,399742.7752,4091873.8339,global,-7.42,-17.02,-0.073,2.00,3.72,1.53,5.03,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:30.995,399742.7752,4091873.8339,global,-8.33,-17.02,-0.073,2.00,3.72,0.62,5.03,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.045,399742.7752,4091873.8339,global,-9.13,-17.02,-0.073,2.00,3.76,-0.09,8.77,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.095,399742.7752,4091873.8339,global,-10.25,-17.02,-0.073,2.00,3.76,-1.20,8.77,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.145,399743.0417,4091873.7863,global,-10.90,-4.43,-0.052,2.00,3.99,-11.88,8.63,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.195,399743.0417,4091873.7863,global,-11.94,-4.43,-0.052,2.00,3.99,-12.92,8.63,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.245,399743.0417,4091873.7863,global,-12.69,-4.43,-0.052,2.00,3.99,-13.66,8.63,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.297,399743.0417,4091873.7863,global,-13.64,-4.43,-0.052,2.00,3.99,-14.61,0.60,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.347,399743.3169,4091873.7165,global,-13.88,-10.77,-0.091,2.00,3.99,-12.39,0.60,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.395,399743.3169,4091873.7165,global,-13.73,-10.77,-0.091,2.00,3.99,-12.23,-11.58,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.445,399743.3169,4091873.7165,global,-13.34,-10.77,-0.091,2.00,3.99,-11.83,-11.58,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.495,399743.3169,4091873.7165,global,-12.42,-10.77,-0.091,2.00,3.99,-10.91,-11.58,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.545,399743.3169,4091873.7165,global,-11.60,-10.77,-0.091,2.00,3.85,-10.43,-22.00,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.597,399743.3169,4091873.7165,global,-10.21,-10.77,-0.091,2.00,3.85,-9.04,-22.00,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.645,399743.5924,4091873.6799,global,-9.28,-17.20,-0.065,2.00,3.99,1.25,-21.95,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.695,399743.5924,4091873.6799,global,-7.94,-17.20,-0.065,2.00,3.99,2.60,-21.95,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.745,399743.5924,4091873.6799,global,-7.08,-17.20,-0.065,2.00,3.99,3.45,-21.95,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.795,399743.5924,4091873.6799,global,-6.02,-17.20,-0.065,2.00,4.54,5.32,-13.35,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.845,399743.5924,4091873.6799,global,-5.70,-17.20,-0.065,2.00,4.54,5.64,-13.35,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.895,399743.8598,4091873.6990,global,-5.77,-16.16,0.030,2.00,3.99,13.45,-1.71,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.945,399743.8598,4091873.6990,global,-6.05,-16.16,0.030,2.00,3.99,13.17,-1.71,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:31.995,399743.8598,4091873.6990,global,-6.94,-16.16,0.030,2.00,3.99,12.28,-1.71,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:32.045,399743.8598,4091873.6990,global,-7.89,-16.16,0.030,2.00,5.23,10.61,15.54,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:32.096,399743.8598,4091873.6990,global,-9.67,-16.16,0.030,2.00,5.23,8.82,15.54,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:32.156,399744.1352,4091873.6513,global,-9.67,-15.38,0.051,2.00,5.23,9.71,15.54,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:32.195,399744.1352,4091873.6513,global,-13.42,-15.38,0.051,2.00,3.63,7.72,21.63,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:32.245,399744.1352,4091873.6513,global,-14.96,-15.38,0.051,2.00,3.63,6.18,21.63,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:32.295,399744.1352,4091873.6513,global,-16.59,-15.38,0.051,2.00,4.37,3.57,10.99,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:32.346,399744.3922,4091873.5484,global,-17.26,-0.68,0.011,2.00,4.37,-15.54,10.99,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:32.395,399744.3922,4091873.5484,global,-18.12,-0.68,0.011,2.00,3.79,-16.24,0.09,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:32.445,399744.3922,4091873.5484,global,-18.42,-0.68,0.011,2.00,3.79,-16.53,0.09,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:32.495,399744.3922,4091873.5484,global,-18.28,-0.68,0.011,2.00,3.79,-16.39,0.09,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:32.546,399744.3922,4091873.5484,global,-17.91,-0.68,0.011,2.00,4.26,-16.16,-16.35,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:32.596,399744.3922,4091873.5484,global,-16.99,-0.68,0.011,2.00,4.26,-15.24,-16.35,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:32.645,399744.6851,4091873.4784,global,-16.13,-4.24,-0.033,2.00,3.76,-15.47,-21.97,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:32.695,399744.6851,4091873.4784,global,-14.53,-4.24,-0.033,2.00,3.76,-13.87,-21.97,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
17:05:32.745,399744.6851,4091873.4784,global,-13.28,-4.24,-0.033,2.00,3.76,-12.62,-21.97,10.00,0.50,0.70,99.00,0,0,0,0,0,0.00,999.00
