time,utm_x,utm_y,path_type,vehicle_yaw_deg,path_yaw_deg,cte_meter,k_gain,v_kmh,target_steer_deg,current_steer_deg,kp,ki,kd,closest_cluster_dist,r_state,y_state,g_state,f_state,l_state,light_area,stopline_dist
16:58:30.587,399741.3860,4091875.3149,global,-10.33,-10.32,1.106,2.00,0.00,22.00,9.32,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
16:58:30.637,399741.3860,4091875.3149,global,-10.33,-10.32,1.106,2.00,0.00,22.00,9.38,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
16:58:30.687,399741.3860,4091875.3149,global,-10.32,-10.32,1.106,2.00,0.00,22.00,9.38,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
16:58:30.738,399741.3860,4091875.3149,global,-10.31,-10.32,1.106,2.00,0.00,22.00,9.38,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
16:58:30.809,399741.3860,4091875.3149,global,-10.31,-10.32,1.106,2.00,-0.15,22.00,20.18,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
16:58:30.837,399741.3859,4091875.3038,global,-10.56,-10.32,1.095,2.00,-0.15,22.00,20.18,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
16:58:30.887,399741.3859,4091875.3038,global,-10.71,-10.32,1.095,2.00,0.71,22.00,21.99,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
16:58:30.938,399741.3859,4091875.3038,global,-10.88,-10.32,1.095,2.00,0.71,22.00,21.99,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
16:58:30.987,399741.3859,4091875.3038,global,-11.26,-10.32,1.095,2.00,0.60,22.00,21.99,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
16:58:31.038,399741.3859,4091875.3038,global,-11.55,-10.32,1.095,2.00,0.60,22.00,21.99,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
16:58:31.087,399741.4301,4091875.2811,global,-11.97,-6.15,1.082,2.00,0.80,22.00,19.82,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
16:58:31.138,399741.4301,4091875.2811,global,-12.37,-6.15,1.082,2.00,0.80,22.00,19.82,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
16:58:31.187,399741.4301,4091875.2811,global,-12.63,-6.15,1.082,2.00,0.80,22.00,19.82,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
16:58:31.238,399741.4301,4091875.2811,global,-13.05,-6.15,1.082,2.00,1.11,22.00,20.08,10.00,0.00,0.50,99.00,0,0,0,0,0,0.00,999.00
